,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,surveyzone_start,qday1tripend,qborough_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode,Cluster,PC1_2d,PC2_2d
818,1105423,105423,Sunday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,Park/Recreational area/Gym,Queens,Outer Queens,Park/Recreational area/Gym,41 to 45,3.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.820906804,Social/recreation,1,4.990741546759582,-0.6830336251927183
819,1105424,105424,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Outside of New York City,Manhattan,Manhattan Core,Other,11 to 15,2.0,Female,"$150,000-$199,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.372310064,Social/recreation,1,5.084452152600704,-0.6968598870658859
820,1105431,105431,Sunday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Restaurant or bar,Queens,Middle Queens,Restaurant or bar,6 to 10,1.0,Male,"$200,000 and above",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.286593525,Dining,1,5.098072224231697,-1.5071420034528529
821,1105432,105432,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Park/Recreational area/Gym,Manhattan,Manhattan Core,Park/Recreational area/Gym,11 to 15,2.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.294694826,Social/recreation,1,5.0812131601135775,-0.7275581353177106
822,1105435,105435,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Other,Manhattan,Manhattan Core,Other,0 to 5,1.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.6568023270000001,Other,1,5.0534029787162,-1.2487761838756608
823,1105436,105436,Sunday,Very typical,Manhattan,Northern Manhattan,PM,Manhattan,Manhattan Core,Outside of New York City,Manhattan,Manhattan Core,Airport,56 to 60,1.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,2.0,2.0,2.0,No,Carpool,Car,No,0.302972228,Accompanying other traveler,1,5.0650337374575125,-1.0016585287311583
824,1105437,105437,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Park/Recreational area/Gym,Manhattan,Manhattan Core,Park/Recreational area/Gym,61 to 180,2.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,3.348697739,Social/recreation,1,5.073957604469261,-0.8241893131850346
825,1105443,105443,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Restaurant or bar,Manhattan,Manhattan Core,Restaurant or bar,6 to 10,3.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Walk,Walk,Yes,0.311089188,Social/recreation,1,5.106127544832961,-0.16596674482807194
826,1105444,105444,Sunday,Very typical,Queens,Outer Queens,AM,Queens,Outer Queens,Friend or family member's home,Queens,Outer Queens,Friend or family member's home,6 to 10,7.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.313825636,Social/recreation,1,5.116425381447916,1.0803312282698334
827,1105448,105448,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,56 to 60,2.0,Female,"$150,000-$199,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.5819737979999999,Commute to/from work,1,5.0520525421171225,-1.0064199088091377
828,1105450,105450,Sunday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,Other,Brooklyn,Outer Brooklyn,Other,56 to 60,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.752203845,Social/recreation,1,4.953062485702328,-0.1911142056575965
829,1105457,105457,Sunday,Very typical,Queens,Outer Queens,AM,Queens,Outer Queens,Friend or family member's home,Queens,Outer Queens,Friend or family member's home,21 to 25,7.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Personal car,Car,No,0.752925857,Social/recreation,1,5.143973171518432,1.1196121719059442
830,1105458,105458,Sunday,Very typical,Queens,Outer Queens,AM,Queens,Outer Queens,Home,Queens,Outer Queens,Home,0 to 5,1.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,35-44,"Black, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Don't know,Other,No,0.370218955,Commute to/from work,1,5.0885801647132975,-1.4678416305362074
831,1105459,105459,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Outside of New York City,Manhattan,Manhattan Core,Other,26 to 30,1.0,Female,"$200,000 and above",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.5819737979999999,Other,1,5.060810307599659,-1.2061463035033668
832,1105460,105460,Sunday,Very typical,Brooklyn,Inner Brooklyn,AM,Brooklyn,Inner Brooklyn,"Grocery store or market (including deli, bodega, etc.)",Brooklyn,Inner Brooklyn,"Grocery store or market (including deli, bodega, etc.)",6 to 10,2.0,Male,"$35,000 - $49,999",No,No,No,No,No,Yes,No,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.259724648,Shopping,1,5.014053536253218,-0.9622918658322759
833,1105467,105467,Sunday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,Home,Brooklyn,Outer Brooklyn,Home,61 to 180,2.0,Male,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",No,Other,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,5.822102068,Shopping,1,4.982303358004064,-0.9934182263274559
834,1105472,105472,Sunday,Very typical,Brooklyn,Outer Brooklyn,AM,Brooklyn,Outer Brooklyn,Outside of New York City,Manhattan,Manhattan Core,Bus stop,26 to 30,2.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic",Some college but degree not received or in progress,Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,3.074476527,Social/recreation,1,5.006189397372375,-1.0489329905451594
835,1105474,105474,Sunday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,Home,Manhattan,Manhattan Core,Home,0 to 5,5.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.503692199,Shopping,1,5.15333712481286,0.735087242347468
836,1105475,105475,Sunday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,Friend or family member's home,Manhattan,Northern Manhattan,Friend or family member's home,41 to 45,1.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.724555673,Social/recreation,1,5.076005591443205,-1.0346869402638634
837,1105480,105480,Sunday,Very typical,Brooklyn,Inner Brooklyn,NOON,Brooklyn,Inner Brooklyn,Other,Brooklyn,Inner Brooklyn,Other,16 to 20,1.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,45-54,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,3.5163341960000003,Shopping,1,4.923013413131478,-1.3471521862541518
838,1105484,105484,Sunday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Northern Manhattan,"Grocery store or market (including deli, bodega, etc.)",16 to 20,3.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.311089188,Dining,1,5.109241726361,-0.13255060017550674
839,1105488,105488,Sunday,Very typical,Queens,Inner Queens,NOON,Queens,Inner Queens,Friend or family member's home,The Bronx,Southern Bronx,Friend or family member's home,61 to 180,1.0,Female,"$35,000 - $49,999",No,Yes,No,No,No,No,No,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.451186145,Dining,1,5.058746757503913,-1.4509614143698295
840,1105495,105495,Sunday,Very typical,Brooklyn,Inner Brooklyn,NOON,Brooklyn,Inner Brooklyn,Other,Brooklyn,Inner Brooklyn,Other,11 to 15,3.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.288485398,Social/recreation,1,4.951858132515441,-0.4453600174560947
841,1105501,105501,Sunday,Very typical,Brooklyn,Outer Brooklyn,NOON,Brooklyn,Outer Brooklyn,"Retail store (e.g. clothing, electronic, hardware, etc.)",Brooklyn,Outer Brooklyn,"Retail store (e.g. clothing, electronic, hardware, etc.)",11 to 15,2.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,1.1061315,Shopping,1,4.980912040697222,-0.8314462691550891
1319,2103799,103799,Sunday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Manhattan Core,Home,Manhattan,Northern Manhattan,Home,61 to 180,2.0,Female,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.30794519,Shopping,1,5.1019005388221,-0.6556923589805492
1320,2103801,103801,Sunday,Very typical,Queens,Inner Queens,NOON,Queens,Inner Queens,Park/Recreational area/Gym,Queens,Inner Queens,Park/Recreational area/Gym,0 to 5,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Walk,Walk,Yes,0.301895112,Social/recreation,1,5.134824684534158,-0.7721455654220035
1321,2103832,103832,Monday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,School,The Bronx,Northern Bronx,School,56 to 60,3.0,Male,"$75,000 - $99,999",No,No,Yes,No,No,No,No,No,No,25-34,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.953918437,School,1,5.0063176381283006,-0.8753767528149236
1322,2103833,103833,Monday,Very typical,Queens,Middle Queens,NOON,Queens,Middle Queens,"Grocery store or market (including deli, bodega, etc.)",Queens,Outer Queens,"Grocery store or market (including deli, bodega, etc.)",0 to 5,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Local bus,Bus,Yes,0.18520922,Personal errands,1,5.1059120585189435,-0.5122868793129054
1323,2103836,103836,Monday,Very typical,Staten Island,Staten Island,AM,Staten Island,Staten Island,Other,Manhattan,Manhattan Core,Other,21 to 25,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Other,Other,No,0.082747367,Commute to/from work,1,5.045230932725908,0.22201351046764767
1324,2103840,103840,Monday,Very typical,The Bronx,Northern Bronx,NOON,The Bronx,Northern Bronx,Other,The Bronx,Northern Bronx,Other,0 to 5,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.243750363,Personal errands,1,5.055388068625189,0.4344484490768879
1325,2103845,103845,Monday,Very typical,Queens,Middle Queens,PM,Brooklyn,Inner Brooklyn,Home,Queens,Middle Queens,Home,56 to 60,2.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.662516599,Commute to/from work,1,5.062175906221468,-0.7849824682938442
1326,2103846,103846,Monday,Very typical,Staten Island,Staten Island,AM,Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",6 to 10,3.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.118163418,Shopping,1,5.05436083285629,-0.6101303154860006
1327,2103848,103848,Monday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,Work,Manhattan,Manhattan Core,Work,56 to 60,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"Associate degree (i.e., AA, AS)",No,Other,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Subway,Subway,Yes,0.394453454,Commute to/from work,1,5.033537607610885,-0.9549510745347184
1328,2103850,103850,Monday,Very typical,Queens,Middle Queens,NOON,Manhattan,Manhattan Core,Home,Queens,Middle Queens,Home,56 to 60,2.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.486395054,Commute to/from work,1,5.1060158248968985,-0.7170174633897872
1329,2103857,103857,Monday,Very typical,Queens,Inner Queens,PM,Queens,Inner Queens,Home,Queens,Inner Queens,Home,6 to 10,2.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.547183641,Dining,1,5.115381640831082,-0.583773996229912
1330,2103863,103863,Monday,Very typical,Queens,Inner Queens,NOON,Manhattan,Manhattan Core,Home,Queens,Inner Queens,Home,26 to 30,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.703141812,Commute to/from work,1,5.105704822852809,-0.5716812739598016
1331,2103864,103864,Monday,Very typical,Queens,Inner Queens,NOON,Queens,Outer Queens,Home,Queens,Inner Queens,Home,26 to 30,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.4888058420000001,Commute to/from work,1,5.107816803868518,0.10281012519415386
1332,2103874,103874,Monday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Work,Queens,Middle Queens,Work,11 to 15,4.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.613267501,Commute to/from work,1,5.0900278417263936,-0.48836150529034006
1333,2103877,103877,Monday,Very typical,Manhattan,Northern Manhattan,PM,The Bronx,Northern Bronx,Friend or family member's home,The Bronx,Northern Bronx,Friend or family member's home,56 to 60,2.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.55917969,Social/recreation,1,5.0452117325634465,-0.7956001204024713
1334,2103879,103879,Monday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,Home,Manhattan,Northern Manhattan,Home,11 to 15,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.8151090520000001,Commute to/from work,1,5.099236629539151,0.4514117793050184
1335,2103880,103880,Tuesday,Very typical,Queens,Inner Queens,NOON,Queens,Inner Queens,Home,Queens,Inner Queens,Home,0 to 5,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,18-24,"Asian, Non-Hispanic",Some college but degree not received or in progress,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.943003536,Commute to/from work,1,5.106981468084113,-0.8145573188953557
1336,2103907,103907,Tuesday,Very typical,The Bronx,Southern Bronx,PM,The Bronx,Southern Bronx,Home,The Bronx,Southern Bronx,Home,6 to 10,2.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some high school,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.8379417229999999,Shopping,1,5.05663134696401,-0.7060462649409625
1337,2103964,103964,Thursday,Very typical,The Bronx,Northern Bronx,AM,The Bronx,Northern Bronx,Other,The Bronx,Northern Bronx,Other,61 to 180,4.0,Female,"$15,000 - $24,999",No,No,Yes,No,No,No,No,No,No,55-64,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Other,Other,No,0.519678789,Other,1,5.039003782518142,-0.2480895337698938
1338,2103978,103978,Thursday,Very typical,Brooklyn,Inner Brooklyn,NOON,Brooklyn,Inner Brooklyn,Home,Brooklyn,Inner Brooklyn,Home,0 to 5,2.0,Male,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.913253347,Social/recreation,1,4.969750094708344,-0.6644767219525238
1339,2103983,103983,Thursday,Very typical,Staten Island,Staten Island,NOON,Staten Island,Staten Island,Home,Staten Island,Staten Island,Home,31 to 35,4.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.137643525,Commute to/from work,1,5.067722763090295,0.15252036830304042
1340,2103989,103989,Thursday,Very typical,Queens,Middle Queens,AM,Queens,Outer Queens,Doctor's office or hospital,Queens,Middle Queens,Doctor's office or hospital,11 to 15,4.0,Female,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.474454779,Medical visit (doctor's office),1,5.106292648660215,-0.35142402770469605
1341,2103992,103992,Thursday,Very typical,The Bronx,Southern Bronx,NOON,The Bronx,Southern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",The Bronx,Southern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",6 to 10,3.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"High school graduate or equivalent (i.e., GED)",No,I do not have access to a car,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Select bus service,Bus,Yes,2.249652607,Shopping,1,5.043943265895275,-0.5880609875180758
1342,2103998,103998,Friday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Manhattan Core,Restaurant or bar,Manhattan,Northern Manhattan,Restaurant or bar,41 to 45,3.0,Male,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Subway,Subway,Yes,0.224564811,Social/recreation,1,5.0928909947338745,-0.16494022199792147
1343,2104014,104014,Friday,Very typical,The Bronx,Northern Bronx,NOON,The Bronx,Southern Bronx,Doctor's office or hospital,The Bronx,Northern Bronx,Doctor's office or hospital,61 to 180,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,Yes,No,No,No,35-44,"Asian, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Express bus,Bus,Yes,0.4815817,Medical visit (doctor's office),1,5.017273866738457,-0.5613715144471586
1344,2104020,104020,Friday,Very typical,The Bronx,Northern Bronx,PM,Manhattan,Manhattan Core,Home,The Bronx,Northern Bronx,Home,41 to 45,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some college but degree not received or in progress,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.243750363,Shopping,1,5.1032148273060285,-0.19353764164601128
